"Name"	"LastWriteTime"	"Length"	"SHA256"	"Status"	"Title"	"Preview"
"ADR-001 Depth over Speed.md"	"3/20/2026 9:33:40 PM"	"1466"	"E170566A0470D3B32D7A2A2D7D081E233FAB88EA2363CEBF546946B92C38D75D"	"принято"	"ADR-001: Depth over Speed"	"RTX 3090 (24 ГБ VRAM) + 62 ГБ RAM. Одно GPU. Нужно выбрать приоритет: скорость генерации или глубина контекста. | Приоритет — **глубина контекста**. RAM используется как расширение VRAM (~86 ГБ суммарный пул). num_ctx по"
"ADR-001 Planner qwen3_30b вместо qwen3.5_35b.md"	"3/27/2026 4:43:06 PM"	"2502"	"374B27BA44A577960A0DC6A14941A61FAA2F0F525533BBC2731E18A07D79DCA5"	"принято"	"ADR-001: Planner = qwen3:30b вместо qwen3.5:35b"	"При реализации [[Этап08C]] (Orchestrator PoC) потребовалось выбрать модель для роли Planner в pipeline `plan-execute-review`. По исходному плану предполагался `qwen3.5:35b` как наиболее мощная reasoning-модель в лаборато"
"ADR-002 Continue-first.md"	"3/20/2026 9:36:09 PM"	"995"	"AAA082599ED0C49A25426E5A68860A832BDC4110C62C43AC99E29A239007A56C"	"принято"	"ADR-002: Continue.dev как единственный primary agent runtime"	"Нужен IDE agent runtime для Chat, Edit, Agent mode с tool calling. Варианты: Continue.dev, Copilot BYOK, Kilo Code. | **Continue.dev** — единственный primary runtime. Copilot BYOK — secondary, только plain chat. Причины:"
"ADR-003 STDIO транспорт для MCP.md"	"3/20/2026 9:37:35 PM"	"1338"	"167D6E76F2BF93201C51776485878FE798852480658DD0B1F698ED8BA71C0FBA"	"принято"	"ADR-003: STDIO транспорт по умолчанию для локальных MCP-серверов"	"MCP поддерживает три транспорта: STDIO, SSE, streamable-http. MCP-серверы запускаются на стороне клиента (Windows), т.к. Continue — VS Code extension. | **STDIO по умолчанию** для всех локальных инструментов. SSE/streama"
"ADR-004 transformers.js вместо Ollama embeddings.md"	"3/20/2026 9:39:16 PM"	"1208"	"C3750E318C72C501CED2FBB0AE55A4D669A4C50C563B96F250F8062B6A3ECB67"	"принято"	"ADR-004: transformers.js для embeddings (вместо Ollama)"	"Нужны embeddings для индексации кодовой базы (@Code, @Repository Map). OLLAMA_NUM_PARALLEL=1 — один запрос за раз. | **transformers.js** (all-MiniLM-L6-v2), встроенный в VS Code extension host. Нулевая нагрузка на Ollama"
"ADR-005 ChromaDB для RAG PoC.md"	"3/20/2026 9:41:35 PM"	"615"	"9B028C74E4770C881994A04303E79032A2EFAB3F92B9E1BE29AC8B79AA53265D"	"принято"	"ADR-005: ChromaDB для RAG PoC"	"Нужна vector DB для RAG-сервера (Этап 11). Варианты: ChromaDB (embedded), Qdrant (server), SQLite+faiss (manual). | **ChromaDB в embedded режиме** для PoC. SQLite backend, zero-config, Python API. | - Ограничение ~100K д"
"ADR-006 Модуляризация gateway.md"	"3/20/2026 9:43:24 PM"	"1018"	"2B04B96429E17E0B7D480D599240A0790468B69DA15D62FF4BEE398961BF9F71"	"принято"	"ADR-006: Модуляризация gateway.py при первом расширении"	"gateway.py v0.7.0 — 994 строки. При добавлении embeddings, logging, metrics, orchestrate вырастет до 2000+. | При первом расширении (Этап 9A/10A) разбить на Python-пакет `~/llm-gateway/gateway/`. Модули в одном процессе "
"ADR-007 Terminal Policy rules-based vs MCP server.md"	"3/27/2026 1:17:29 PM"	"2491"	"5A220EA34740D71F864DC02EAFE3F328732A0FB71395BFE75B551F7E668208BE"	"принято"	"ADR-007: Terminal Policy — rules-based vs отдельный MCP server"	"Этап 8B планировался как «Terminal MCP». Обнаружилось, что Continue Agent уже умеет выполнять команды через встроенный VS Code terminal. Стоял выбор: разворачивать отдельный Terminal MCP server (например, `mcp-server-ter"
"ADR-008_commit-msg_одноступенчатый.md"	"3/27/2026 9:22:52 PM"	"2411"	"3EC0F7CC181BABDDE41C24B3DA1210794ADA30C0669324D793890A3F9B6DE0F2"	"принято"	"ADR-xxx — commit-msg pipeline: намеренно одноступенчатый, qwen3.5:9b"	"Для генерации conventional commit message нужен pipeline в orchestrator. Вопрос: какую модель и сколько шагов использовать? | **A. execute-review: executor (qwen3-coder:30b) + reviewer (deepseek-r1:32b)** | Минус: ~40–45"
"ADR-008-gateway-modularization.md"	"4/8/2026 4:57:02 PM"	"1709"	"2E10B2EFBA3E670FDE161C69CD511F1D5A90E6A9ECD62BFCA231C0869EE98211"	"Accepted"	"ADR-008: Gateway модуляризация — пакет вместо монолита"	"gateway.py вырос до 1305 строк (v0.8.0). Добавление новых endpoint-ов (embeddings, metrics, orchestrate) усложняло навигацию и тестирование. Единый файл создавал merge conflicts при параллельной работе. | Разбить монолит"
"ADR-009_MAX_LINES_защита_diff.md"	"3/27/2026 9:22:52 PM"	"2952"	"08E0EED1894B28B1BDA0DD637C92538A8731DB6C90C9CABC2983F5F7BC1DEDCD"	"принято"	"ADR-xxx — MAX_LINES=400 как защита от переполнения num_ctx"	"`auto-review.sh` и `auto-commit-msg.sh` передают `git diff` как часть задачи в orchestrator. Большие коммиты (рефакторинг, merge, bulk-changes) могут генерировать сотни и тысячи строк diff. Pipelines `execute-review` и `"
"ADR-009_pre-push_STRICT_fail-closed_non-TTY.md"	"3/27/2026 9:22:52 PM"	"2738"	"D1201A94DA3B909EE1B1EC17643D16118FB6E675A836D92D7ADBBE00ADDFEBF8"	"принято"	"ADR-xxx — pre-push: STRICT_REVIEW=1 fail-closed в non-TTY окружениях"	"`pre-push` хук в STRICT-режиме должен запрашивать подтверждение пользователя. Но git hooks вызываются в разных контекстах: интерактивный терминал, SSH-сессия без PTY (pseudo-terminal), CI/CD pipeline (GitHub Actions, Git"
"ADR-010_stdout_bridge_shell_orchestrator.md"	"3/27/2026 9:22:52 PM"	"2261"	"4211AE68A3CB12CA6F7EFB9220BDBD44482DAEAD2524E03741CE613F4A82D560"	"принято"	"ADR-xxx — --stdout как bridge между оркестратором и shell"	"`orchestrator.py` сохраняет результаты pipeline в `results/TIMESTAMP.json`. Shell-скриптам нужен текстовый результат последнего шага без парсинга JSON. | **A. Парсить JSON через `jq` в скриптах** | Минус: внешняя зависим"
"ADR-010-fim-bypass-gateway.md"	"4/8/2026 4:57:02 PM"	"1866"	"8F98F6D19AFBA22183533436CD96817E35DAC6AFF75BC7AC15BE5D02EC8702CA"	"Accepted"	"ADR-010: FIM Autocomplete минует Gateway"	"FIM (Fill-In-the-Middle) autocomplete в Continue.dev требует минимальной latency (<200ms до первого токена). Gateway добавляет overhead (auth middleware, logging, httpx proxy). Autocomplete использует endpoint Ollama `/a"
"ADR-011_Venv-только_для_orchestrator.md"	"3/27/2026 9:22:52 PM"	"2557"	"34C43ED6475117D0D46EA255E43BA3D355A30C3C98E3F37D98890800CDE6EB0E"	"принято"	"ADR-xxx — Запуск orchestrator.py только через venv/bin/python"	"`orchestrator.py` использует `openai` SDK, который установлен только в `~/llm-gateway/venv` — том же окружении, что использует `gateway.py` через systemd. Системный Python3 пакета не имеет. | Для shell-скриптов (auto-rev"
"ADR-012 Embeddings без модуляризации.md"	"3/28/2026 7:13:39 PM"	"2602"	"E90D1621E6C5E8286CF99532CAA0A2AD01F632FF2F08B0460DD36E53A96671BF"	"принято"	"ADR-008 — Embeddings: additive change без модуляризации gateway.py"	"gateway.py v0.7.0 содержит 994 строки. Целевая архитектура (v1.4) предполагала модуляризацию «при первом расширении (этап 9A или 10A)». Этап 9A добавляет `/v1/embeddings` — первое расширение после v0.7.0. | **Реализовать"
"ADR-012-gemma4-model-routing.md"	"4/8/2026 4:57:02 PM"	"2222"	"15BDFBB8C9D48A0A1B67921647FF5C674A8469DEFAC282C6CD738FFF2A2B3303"	"Accepted"	"ADR-012: Gemma 4 Model Integration — Tier-based Routing"	"Gemma 4 (31B Dense #3 Arena, 26B MoE #6 Arena) доступны в Ollama 0.20.0 с подтверждённым function calling (generic + semantic), multi-step chaining, thinking mode и vision. Необходимо определить роли Gemma 4 относительно"
"ADR-013 Allowlist embedding-моделей.md"	"3/28/2026 7:13:39 PM"	"2455"	"3D8407F0A7541A68D02F911DEE6A2EC3717E643D0C6BD389E7DC7B71CCC28758"	"принято"	"ADR-009 — Allowlist embedding-моделей на стороне gateway"	"`POST /v1/embeddings` принимает параметр `model`. Теоретически клиент может передать любое имя модели — в том числе chat-модель (`qwen3-coder:30b`), которая не умеет генерировать эмбеддинги. | Вопрос: валидировать модель"
"ADR-013-text2sql-evaluator-separation.md"	"4/8/2026 4:57:02 PM"	"2102"	"C8F141179D90A10C97E9F0A4ECE96E6B81077A96980144002528F7B7E73D83EA"	"Accepted"	"ADR-013: Text-to-SQL Evaluator Separation + Prompt Freeze"	"При разработке Text-to-SQL PoC (Этап 11A) обнаружено, что одновременная оптимизация evaluator-логики и model prompt приводит к неконтролируемым взаимодействиям. Strict evaluator (v1) занижал Semantic Accuracy (SA) в 2–3 "
"ADR-014 Embeddings через gateway.md"	"3/29/2026 9:23:29 PM"	"3701"	"2EDFB6D9A597B5C0A649629F5D7A1A8F00548B534DE2B2081544ED6ECB5D1447"	"принято"	"ADR-010 Embeddings через gateway, не напрямую в Ollama"	"Принято. Реализовано в этапе 9B. | При миграции Continue.dev embeddings с transformers.js на qwen3-embedding возникает выбор пути: | - **Вариант A (provider: ollama):** Continue → Ollama :11434 напрямую. Аналогично FIM a"
"ADR-014 streamable-http для серверных MCP.md"	"4/4/2026 10:17:38 PM"	"1809"	"2DA04C0B2ED958431D0E8212CBD5E393CE5378706B88BE5561F8F90E781DEB54"	"принято"	"ADR-014 streamable-http для серверных MCP"	"RAG MCP server нуждается в доступе к ChromaDB и документам на Ubuntu-сервере (192.168.0.128). Continue.dev MCP STDIO серверы запускаются на стороне клиента (Windows) — это не подходит для серверных ресурсов. | MCP spec 2"
"ADR-014-streamable-http-mcp.md"	"4/8/2026 4:57:02 PM"	"1640"	"056127EA04D4EC0B8AFCFC2A0305B48BE306B799955785106E61DD95E6BBD588"	"Accepted"	"ADR-014: Streamable-HTTP для серверных MCP-серверов"	"RAG MCP server нуждается в доступе к ChromaDB и документам на Ubuntu-сервере. Continue.dev MCP STDIO серверы запускаются на стороне клиента (Windows). Необходимо выбрать транспорт для серверных MCP, которые работают на U"
"ADR-015 Obsidian_ADR-015.md"	"4/7/2026 5:32:07 PM"	"1756"	"03DF0A4F5A936697019E0F0E12959F1D5042BB5CDE790B2C86636683FF4A92E0"	"принято"	"ADR-015 Per-user token storage — ENV-based JSON"	"Этап 14B: переход от optional single-token auth к mandatory per-user tokens. Нужно хранить маппинг token → user_id для 2–3 пользователей лаборатории. | **A. ENV-based JSON** — `LLM_GATEWAY_TOKENS='{""token"": ""user_id""}'` "
"ADR-015 Трек F и этап 11A Text-to-SQL.md"	"3/29/2026 9:23:29 PM"	"5045"	"CCDE33E15115BD13E3BBD466AF059A05DD1971E22FFBF1011D768122C9912B54"	"принято"	"ADR-011 Трек F (AI-as-Interface) и этап 11A (Text-to-SQL PoC)"	"Принято. Зафиксировано в целевой архитектуре v1.6. | Стратегический анализ «ИИ поглощает интерфейс» ([[AI_as_Interface_Lab_Playbook]]) выявил, что лаборатория покрывает 4 из 5 enterprise-паттернов через существующий road"
"ADR-015-rag-mcp-interim-auth.md"	"4/8/2026 4:57:02 PM"	"1922"	"5D962F1239970E87E3F4B41AFD91E57E1ABAAEAAEF6D85747067F22147D13D0C"	"Accepted"	"ADR-015: RAG MCP Interim Auth — первый токен из map"	"После перевода gateway auth на mandatory per-user (14B), RAG MCP server потерял доступ к gateway /v1/embeddings (Грабли #48). RAG MCP server вызывает gateway для получения embedding-векторов при каждом search запросе. Ну"
"ADR-016 Sync orchestrate self-call.md"	"4/8/2026 7:20:41 AM"	"2213"	"11CEEB5903B9844B1EF7739778A99158EBC8A71FE09ED3E732123BBEF9400A44"	"принято"	"ADR-016 Sync orchestrate self-call"	"Формализация pipeline execution из standalone скрипта (Этап 8C) в gateway API endpoint. Два архитектурных вопроса: (1) синхронный vs async; (2) как pipeline шаги вызывают LLM. | | Вариант | Плюсы | Минусы | | |---------|"
"ADR-016.md"	"4/3/2026 12:09:23 PM"	"3197"	"CED8B9BBA391F52822CA7C8DFE1091C5403639CDAB79749D1BF9217DC1D4A952"	"закрыт"	"ADR-008 — Модуляризация gateway.py в Python-пакет"	"**Закрыт.** Выполнен в Этапе 10A (2026-03-31). | gateway.py v0.7.0 — 994 строки. По roadmap предстояло добавить: /v1/embeddings (9A), structured logging (10A), /metrics (10B), /v1/orchestrate (16). Прогноз — рост до 2000"
"ADR-016-sync-orchestrate-self-call.md"	"4/8/2026 4:57:02 PM"	"2345"	"FCBE3F89C9C4BD3353A2D9E28664A1E455DC1A31CFC1D5006BBB660A86DF112A"	"Accepted"	"ADR-016: Sync Orchestrate + Self-Call Pattern"	"Формализация orchestrator паттерна (Этап 8C standalone CLI → Этап 16 gateway API). Нужно решить: реализовать pipeline execution внутри gateway как собственную логику, или переиспользовать существующий /v1/chat/completion"
"ADR-017.md"	"4/4/2026 1:38:55 PM"	"2048"	"FCDDE34C61AF93998A483B383EDA562092850AEBDF02CA01D8DF633A62A42F85"	"принято"	"ADR-013: Text-to-SQL PoC — Evaluator separation и остановка prompt micro-tuning"	"Stage 11A — первый PoC паттерна NL→SQL. В ходе работы возникли два архитектурных вопроса: | 1. Evaluator для NL-to-SQL benchmark смешивался с model/prompt layer, искажая метрики. | 2. Prompt engineering дал +15–20 п.п. S"
